istart,jstart,igoal,jgoal,euclid
17,3,4,33,32.69556544854363
6,14,43,14,37.0
53,29,53,8,21.0
40,9,56,62,55.362442142665635
50,30,7,17,44.9221548904324
16,9,21,30,21.587033144922902
58,8,12,16,46.69047011971501
1,24,46,7,48.104053883222775
43,54,21,17,43.04648650006177
57,9,33,53,50.11985634456667
19,13,47,23,29.732137494637012
56,50,19,20,47.634021455258214
38,28,8,33,30.4138126514911
45,33,63,23,20.591260281974
5,24,40,32,35.90264614203248
31,28,5,10,31.622776601683793
14,37,47,25,35.11409973215888
2,29,5,49,20.223748416156685
45,13,16,43,41.72529209005013
53,33,12,39,41.43669871020132
5,9,41,49,53.81449618829484
44,12,20,17,24.515301344262525
0,8,0,34,26.0
55,63,43,39,26.832815729997478
14,3,11,49,46.09772228646444
19,60,61,11,64.53681120105021
7,49,23,14,38.48376280978771
46,63,6,58,40.311288741492746
43,54,10,37,37.12142238654117
14,9,5,32,24.698178070456937
44,53,7,21,48.91829923454004
18,41,58,56,42.720018726587654
60,61,63,1,60.07495318350236
59,4,36,29,33.97057550292606
60,48,53,12,36.6742416417845
5,8,34,20,31.38470965295043
29,48,26,26,22.20360331117452
13,40,2,22,21.095023109728988
43,54,49,26,28.635642126552707
47,41,13,27,36.76955262170047
5,56,32,50,27.65863337187866
52,40,10,53,43.965895873961216
55,59,21,27,46.69047011971501
62,21,24,47,46.04345773288535
39,26,19,12,24.413111231467404
22,24,2,63,43.829214001622255
5,46,58,12,62.96824596572466
34,50,12,63,25.553864678361276
51,24,60,44,21.93171219946131
47,6,60,50,45.880278987817846
