istart,jstart,igoal,jgoal,euclid
48,2,34,48,48.08326112068523
57,52,28,40,31.38470965295043
7,1,17,37,37.36308338453881
13,53,22,4,49.8196748283246
22,57,42,15,46.51881339845203
21,17,3,1,24.08318915758459
62,6,62,56,50.0
51,5,62,55,51.19570294468082
40,60,62,47,25.553864678361276
0,20,11,53,34.785054261852174
0,59,47,2,73.87827826905551
56,33,17,9,45.79301256742124
46,35,2,8,51.62363799656123
29,1,10,62,63.89053137985315
51,63,2,52,50.21951811795888
23,25,42,45,27.586228448267445
34,61,58,34,36.124783736376884
61,44,47,0,46.17358552246078
37,61,35,16,45.044422518220834
24,42,52,14,39.59797974644666
38,26,16,40,26.076809620810597
7,63,39,7,64.4980619863884
56,17,1,41,60.00833275470999
18,59,56,43,41.23105625617661
12,54,63,13,65.43699259593154
54,7,53,44,37.013511046643494
6,61,58,46,54.120236510939236
49,14,7,9,42.2965719651132
2,31,49,58,54.20332093147061
12,59,9,13,46.09772228646444
10,37,42,21,35.77708763999664
41,59,12,16,51.86520991955976
56,62,44,10,53.36665625650534
36,42,52,11,34.88552708502482
46,33,37,5,29.410882339705484
36,52,15,55,21.213203435596427
35,15,38,35,20.223748416156685
23,30,45,1,36.40054944640259
4,8,43,10,39.05124837953327
1,8,35,36,44.04543109109048
48,49,8,23,47.70744176750625
8,33,62,5,60.8276253029822
12,37,49,34,37.12142238654117
15,42,35,14,34.40930106817051
21,1,55,32,46.010868281309364
14,26,46,24,32.0624390837628
40,26,59,53,33.015148038438355
13,35,7,9,26.68332812825267
62,53,42,30,30.479501308256342
56,2,16,12,41.23105625617661
